581573495106195457,2015-03-27,rt @capitolcityproj: can you believe jeb bush tried this hard to be cool? hilarious video http://t.co/kg4pwgyvio,jeb bush
581573497811570688,2015-03-27,rt @millennial_: president obama when he found out ted cruz is running for president: http://t.co/egplwqyjdy,ted cruz
581573499174719488,2015-03-27,"rt @tedcruz45: ted cruz speech  2016 presidential announcement: 'imagine' full statemen... https://t.co/dxz10wzxsu
.@michaelvdgalien http:/",ted cruz
581573502257385472,2015-03-27,@nogunsnoglory 275 - (ibd) hillary clinton's culture of corruption may doom candidacy http://t.co/zsrawube5c,hillary clinton
581573523526828032,2015-03-27,"rt @tedcruz45: ted cruz speech  2016 presidential announcement: 'imagine' full statemen...: https://t.co/dxz10wzxsu
.@kimmy6kim http://t.co",ted cruz
581573533408628736,2015-03-27,jeb bush in contrast taking questions after most of his public events.  and hillary clinton rarely taking questions from anyone.,hillary clinton
581573556653334528,2015-03-27,ted cruz's first campaign stop hosted by conspiracy buff who wants obama ... - huffington post http://t.co/2ne9ncnh2a,ted cruz
581573561510281216,2015-03-27,"@aceofspadeshq the 2 year delay before anyone said ""hey wait  hillary clinton had a private spy network while she was secstate.""",hillary clinton
581573563263676417,2015-03-27,rt @angryblacklady: if birth control induces abortions  then so does voting for ted cruz #ablc http://t.co/scfvyqnlq3 via @rhrealitycheck,ted cruz
581573567109795840,2015-03-27,ted cruz's first campaign stop hosted by conspiracy buff http://t.co/p3faqdfk42,ted cruz
581573613435760640,2015-03-27,rick ungar: ted cruz's announcement disrespects the founding fathers  american tradition &amp; non-christians http://t.co/6cajkjn3n3 via @forbes,ted cruz
581573617684631552,2015-03-27,rt @bryanjfischer: the left and the gop establishment will always tell you who the true conservative is: they're freaking out over ted cruz.,ted cruz
581573622357045248,2015-03-27,@haywoodstubble 279 - (ibd) hillary clinton's culture of corruption may doom candidacy http://t.co/wdbmiuyyrf,hillary clinton
581573629474775040,2015-03-27,rt @joshtpm: ted cruz victim-apalooza off and running http://t.co/scsxhalkic,ted cruz
581573630120763393,2015-03-27,rt @patfo49: such a coward! msnbc backpedals after guest equates liking ted cruz &amp; country music to killing muslims http://t.co/suh0azvucm,ted cruz
581573630460497920,2015-03-27,rt @gerfingerpoken2: @2afight 275 - (ibd) hillary clinton's culture of corruption may doom candidacy http://t.co/wdbmiuyyrf,hillary clinton
581573633711165440,2015-03-27,ted cruz: 9/11 changed my music taste http://t.co/csuenrzy5n,ted cruz
581573637905391616,2015-03-27,"@mmfa cockroach david brock whines about ted cruz missing senate votes
http://t.co/sgknxzui7t #p2 #stoprush #tcot http://t.co/ycfupfad8d",ted cruz
581573641143328769,2015-03-27,"ted cruz to joe mcquaid re: trump. ""is he going to buy the newspaper?"" mcquaid  with a grin  ""no  he's going to buy the building.""",ted cruz
581573652459732992,2015-03-27,"rt @tedcruz45: ted cruz speech  2016 presidential announcement: 'imagine' full statemen...: https://t.co/dxz10wzxsu
.@thetxembassy http://t",ted cruz
581573663620743169,2015-03-27,.@timalberta &amp; @tifflstanley report on jeb bushs campaign to woo christian conservatives: http://t.co/yqjc6ckcto,jeb bush
581573679961763841,2015-03-27,@climateprogress: ted cruz is not a leader for the future. he is stuck in the past! http://t.co/az5vzistg5 http://t.co/s4u38dhiua,ted cruz
581573697116327936,2015-03-27,rino king: ted cruz supporters boorish individuals http://t.co/gmiydpsfhe via @weaselzippers,ted cruz
581573705018384384,2015-03-27,rt @theonion: ted cruz boldly declares nation not deserving of better candidate http://t.co/84p6xdtraa http://t.co/j7yy4fvdqz,ted cruz
581573717605498880,2015-03-27,ted cruzs friends in low places http://t.co/osoadlvlnd via @instapaper,ted cruz
581573719312584704,2015-03-27,rt @youngcons: what ted cruz said about mudslinging other candidates proves he's a class act http://t.co/yj1lci15oy http://t.co/rz617ea3ue,ted cruz
581573722340880385,2015-03-27,rt @townhallcom: david limbaugh: ted cruz  the antiobama http://t.co/jmb3zfuhzn,ted cruz
581573724333211648,2015-03-27,ted cruz's claim that there has been 'zero' global warming in 17 years makes him a rather large c*nt http://t.co/amaez74krv,ted cruz
581573731325210628,2015-03-27,ted cruz on #periscope here https://t.co/ehwj0xsscj,ted cruz
581573737444687872,2015-03-27,rt @rwsurfergirl: ted cruz argued in front of the supreme court  9 times. 9 times! obama never argued anything in the debates without candy,ted cruz
581573737994063872,2015-03-27,"@stevedeaceshow hillary clinton is polarizing  calculating  disingenuous  insincere  entitled  secretive  out of touch..."" come and get me.",hillary clinton
581573764996947968,2015-03-27,theres a significant reason ted cruz chose march 23 to announce his presidential bid http://t.co/lez78aabqu,ted cruz
581573768767627265,2015-03-27,@upinthehills 276 - (ibd) hillary clinton's culture of corruption may doom candidacy http://t.co/zsrawube5c,hillary clinton
581573774320893952,2015-03-27,@raomaribeth i was referring to how the media and leadership act. ted cruz or louie gohmert is too extreme  but not pelosi  reid or schumer.,ted cruz
581573777064095745,2015-03-27,rt @youngblkrepub: ted cruz the extremist! @peddoc63 @alysiastern @christichat http://t.co/qchfxoa7np,ted cruz
581573787667337217,2015-03-27,read and judge for yourself!!! but  i support the conclusions of jeb bush--based on my experience as having... http://t.co/5xf2y4ziqd,jeb bush
581573797582639104,2015-03-27,rt @charlieberens: we dont have a ted cruz problem on climate change. we have a gop problem on climate change. http://t.co/9cmynqq9se,ted cruz
581573805149020160,2015-03-27,private emails reveal ex-hillary clinton aides secret spy network http://t.co/ljgjv6ywmn,hillary clinton
581573805115514880,2015-03-27,"rt @diva_from_south: guess who said this: ""we are going to take things away from you on behalf of the common good"" 
-hillary clinton 2004
#",hillary clinton
581573813298659328,2015-03-27,"rt @tedcruz45: ted cruz speech  2016 presidential announcement: 'imagine' full statemen...: https://t.co/dxz10wzxsu
.@rnrnewjersey http://t",ted cruz
581573816779874305,2015-03-27,..hillary clinton docet..,hillary clinton
581573817555779585,2015-03-27,.@petridishes hillary clinton is definitely not a hufflepuff #truefacts http://t.co/ecgzsm1wzk,hillary clinton
581573820743483392,2015-03-27,"rt @patdollard: cair demands jeb bush fire adviser jay sekulow for supporting ""anti-muslim legislation "" ""islamophobic causes"" http://t.co/",jeb bush
581573828352040960,2015-03-27,just spent 30 minutes sitting right beside ted cruz. i can confirm  he does not have horns.,ted cruz
581573829140459520,2015-03-27,rt @gerfingerpoken: @nogunsnoglory 275 - (ibd) hillary clinton's culture of corruption may doom candidacy http://t.co/zsrawube5c,hillary clinton
581573834983141376,2015-03-27,rt @temlakos ted cruz: eligible or not? http://t.co/nxwrtaqntk,ted cruz
581573846815240192,2015-03-27,what does ted cruz look like? [ jeb lund article in rolling stone onlne ] march 27  2015 http://t.co/wbupkgldsd via @rollingstone,ted cruz
581573850929876992,2015-03-27,rt @youngblkrepub: ted cruz the extremist! @peddoc63 @alysiastern @christichat http://t.co/qchfxoa7np,ted cruz
581573855094915072,2015-03-27,rt @youngblkrepub: ted cruz the extremist! @peddoc63 @alysiastern @christichat http://t.co/qchfxoa7np,ted cruz
581573862418202624,2015-03-27,#marvellous997 ted cruz's 2016 bid and the tea party fight to oblivion: ted cruz and the tea http://t.co/5htf7oiasn,ted cruz
581573886048935936,2015-03-27,rt @theonion: ted cruz boldly declares nation not deserving of better candidate http://t.co/84p6xdtraa http://t.co/j7yy4fvdqz,ted cruz
581573897629237248,2015-03-27,@politibunny 280 - (ibd) hillary clinton's culture of corruption may doom candidacy http://t.co/wdbmiuyyrf,hillary clinton
581573907213201408,2015-03-27,ted cruz  first north american union president? https://t.co/zrjri6z9ht,ted cruz
581573909285240834,2015-03-27,rt @allenvollbrecht: @edshow if ted cruz had a chance before choosing john bolton just blew that one out the door! #teamedshow #edshow #san,ted cruz
581573918001119232,2015-03-27,rt @jansimagine: #youcruzyoulose   ted cruz has this confused. http://t.co/nlrh5angfy,ted cruz
581573918303096832,2015-03-27,"rt @tedcruz45: ted cruz speech  2016 presidential announcement: 'imagine' full statemen...: https://t.co/dxz10wzxsu
.@datagenesis http://t.",ted cruz
581573929090744321,2015-03-27,rt @crazylary51: #askpresssec   ted cruz u r embarrassing #usa educate ur self  braking #loganact #iranletter #47traitors #ainf http://t.co,ted cruz
581573931238363136,2015-03-27,.@secupp says gop needs to get serious about 2016 and ignore ben carson... how about ted cruz? #2016 #libcrib #tcot,ted cruz
581573949173043200,2015-03-27,rt @crazylary51: @4gen234  ted cruz u r embarrassing #usa educate ur self  braking #loganact #iranletter #47traitors #ainf http://t.co/1pa5,ted cruz
581573953040179200,2015-03-27,president signs order making ted cruz ineligible for obamacare http://t.co/247cee4fet via @borowitzreport,ted cruz
581573963630837760,2015-03-27,@edshow john bolton ted cruz u want war u n ur family take it 2 ur own planet n fight as long as u like we do not want another war on this p,ted cruz
581573972493529088,2015-03-27,"rt @tedcruz45: ted cruz speech  2016 presidential announcement: 'imagine' full statemen...: https://t.co/dxz10wzxsu
.@gobudley http://t.co/",ted cruz
581573981146193920,2015-03-27,(i hear footsteps...run) editor of politico: ted cruz is extraordinarily unlikely to win gop nomination http://t.co/404clf98nb,ted cruz
581573996711276544,2015-03-27,rt @youngcons: what ted cruz said about mudslinging other candidates proves he's a class act http://t.co/yj1lci15oy http://t.co/rz617ea3ue,ted cruz
581574002918866944,2015-03-27,rt @youngblkrepub: ted cruz the extremist! @peddoc63 @alysiastern @christichat http://t.co/qchfxoa7np,ted cruz
581574005678800897,2015-03-27,rt @thepatriot143: the silicon valley libertarians putting serious money behind ted cruz - http://t.co/ayixffrl8g http://t.co/emjtyoeskw,ted cruz
581574010330165248,2015-03-27,rt @rwsurfergirl: ted cruz argued in front of the supreme court  9 times. 9 times! obama never argued anything in the debates without candy,ted cruz
581574013715136512,2015-03-27,rt @drewhampshire: just spent 30 minutes sitting right beside ted cruz. i can confirm  he does not have horns.,ted cruz
581574015870840832,2015-03-27,ted cruz is trying to gut the clean air act and repeal all climate regulation http://t.co/elzar3jeka via @climateprogress,ted cruz
581574016533721089,2015-03-27,ted cruzs comments on climate change are ... baffling | @pbump http://t.co/zwgpoue0l9 http://t.co/m9uyblztg2,ted cruz
581574022661574656,2015-03-27,ted cruz: all the pretty horses: a columbia pictures and miramax films release. an action filled tale of love and los http://t.co/rgzkfvhdyz,ted cruz
581574039593975808,2015-03-27,ted cruz is a piece of garbage. but you all already knew that.,ted cruz
581574040487272448,2015-03-27,@porchphilosophy 277 - (ibd) hillary clinton's culture of corruption may doom candidacy http://t.co/zsrawube5c,hillary clinton
581574043804954624,2015-03-27,rt @thepatriot143: the silicon valley libertarians putting serious money behind ted cruz - http://t.co/ayixffrl8g http://t.co/emjtyoeskw,ted cruz
581574056622858241,2015-03-27,rt @youngblkrepub: ted cruz the extremist! @peddoc63 @alysiastern @christichat http://t.co/qchfxoa7np,ted cruz
581574058770194432,2015-03-27,miley cyrus  hillary clinton  &amp;amp; more speak out against... hot on #theneeds #entertainment http://t.co/pulgmqrgjg,hillary clinton
581574061592973313,2015-03-27,does anyone know where i can buy 10 feet of rope  a cauldron  an albino elephant  and a lock of ted cruz's hair?,ted cruz
581574065183305728,2015-03-27,3 times the old ted cruz contradicted the new ted cruz http://t.co/73qd4vs3x3 via @motherjones,ted cruz
